id,name,category,amount,signup_date,notes
1,Customer 1,North,10,2024-01-15,
2,Customer 2,East,10,2024-01-15,
3,Customer 3,East,20,2024-01-15,
4,Customer 4,South,30,2024-01-15,
5,Customer 5,South,10,2024-01-15,
6,Customer 6,West,9999999,2024-01-15,
7,Customer 7,West,30,2024-01-15,
8,Customer 8,North,30,2024-01-15,
9,Customer 9,East,10,2024-01-15,
10,Customer 10,East,9999999,2024-01-15,
11,Customer 11,West,9999999,2024-01-15,
12,Customer 12,South,20,2024-01-15,
13,Customer 13,South,20,2024-01-15,
14,Customer 14,South,10,2024-01-15,
15,Customer 15,South,30,2024-01-15,
16,Customer 16,East,20,2024-01-15,
17,Customer 17,West,20,2024-01-15,
18,Customer 18,East,9999999,2024-01-15,
19,Customer 19,East,30,2024-01-15,
20,Customer 20,South,9999999,2024-01-15,
21,Customer 21,West,9999999,2024-01-15,
22,Customer 22,West,20,2024-01-15,
23,Customer 23,West,30,2024-01-15,
24,Customer 24,West,30,2024-01-15,
25,Customer 25,East,9999999,2024-01-15,
26,Customer 26,West,9999999,2024-01-15,
27,Customer 27,East,20,2024-01-15,
28,Customer 28,East,20,2024-01-15,
29,Customer 29,East,9999999,2024-01-15,
30,Customer 30,West,30,2024-01-15,
31,Customer 31,South,30,2024-01-15,
32,Customer 32,East,9999999,2024-01-15,
33,Customer 33,East,10,2024-01-15,
34,Customer 34,South,10,2024-01-15,
35,Customer 35,North,10,2024-01-15,
36,Customer 36,East,10,2024-01-15,
37,Customer 37 ,North,20,2024-01-15,
38,Customer 38,East,20,2024-01-15,
39,Customer 39,South,20,2024-01-15,
40,Customer 40,West,10,2024-01-15,
41,Customer 41,North,10,2024-01-15,
42,Customer 42,East,30,2024-01-15,
43,Customer 43,South,20,2024-01-15,
44,Customer 44,North,10,2024-01-15,
45,Customer 45,North,10,2024-01-15,
46,Customer 46,North,10,2024-01-15,
47,Customer 47,East,10,2024-01-15,
48,Customer 48,South,30,2024-01-15,
49,Customer 49,South,20,2024-01-15,
50,Customer 50,West,10,2024-01-15,
51,Customer 51,South,10,2024-01-15,
52,Customer 52,North,20,2024-01-15,
53,Customer 53,East,10,2024-01-15,
54,Customer 54,East,10,2024-01-15,
55,Customer 55,West,30,2024-01-15,
56,Customer 56,East,10,2024-01-15,
57,Customer 57,North,9999999,2024-01-15,
58,Customer 58,West,30,2024-01-15,
59,Customer 59,West,20,2024-01-15,
60,Customer 60,North,20,2024-01-15,
61,Customer 61,North,30,2024-01-15,
62,Customer 62,West,10,2024-01-15,
63,Customer 63,West,20,2024-01-15,
64,Customer 64,East,9999999,2024-01-15,
65,Customer 65,East,20,2024-01-15,
66,Customer 66,East,30,2024-01-15,
67,Customer 67,North,9999999,2024-01-15,
68,Customer 68,North,20,2024-01-15,
69,Customer 69,North,30,2024-01-15,
70,Customer 70,South,20,2024-01-15,
71,Customer 71,North,20,2024-01-15,
72,Customer 72,South,9999999,2024-01-15,
73,Customer 73,South,10,2024-01-15,
74,Customer 74 ,West,20,2024-01-15,
75,Customer 75,East,10,2024-01-15,
76,Customer 76,South,10,2024-01-15,
77,Customer 77,East,30,2024-01-15,
78,Customer 78,East,9999999,2024-01-15,
79,Customer 79,South,10,2024-01-15,
80,Customer 80,West,10,2024-01-15,
81,Customer 81,South,9999999,2024-01-15,
82,Customer 82,North,10,2024-01-15,
83,Customer 83,North,20,2024-01-15,
84,Customer 84,North,10,2024-01-15,
85,Customer 85,South,20,2024-01-15,
86,Customer 86,South,10,2024-01-15,
87,Customer 87,West,10,2024-01-15,
88,Customer 88,East,9999999,2024-01-15,
89,Customer 89,South,9999999,2024-01-15,
90,Customer 90,West,20,2024-01-15,
91,Customer 91,North,9999999,2024-01-15,
92,Customer 92,West,10,2024-01-15,
93,Customer 93,North,20,2024-01-15,
94,Customer 94,East,9999999,2024-01-15,
95,Customer 95,North,10,2024-01-15,
96,Customer 96,East,30,2024-01-15,
97,Customer 97,East,30,2024-01-15,
98,Customer 98,West,10,2024-01-15,
99,Customer 99,North,10,2024-01-15,
100,Customer 100,South,30,2024-01-15,
101,Customer 101,West,10,2024-01-15,
102,Customer 102,West,10,2024-01-15,
103,Customer 103,West,9999999,2024-01-15,
104,Customer 104,North,20,2024-01-15,
105,Customer 105,East,10,2024-01-15,
106,Customer 106,East,10,2024-01-15,
107,Customer 107,North,30,2024-01-15,
108,Customer 108,West,20,2024-01-15,
109,Customer 109,North,20,2024-01-15,
110,Customer 110,West,30,2024-01-15,
111,Customer 111 ,South,9999999,2024-01-15,
112,Customer 112,West,30,2024-01-15,
113,Customer 113,East,10,2024-01-15,
114,Customer 114,North,10,2024-01-15,
115,Customer 115,East,10,2024-01-15,
116,Customer 116,South,9999999,2024-01-15,
117,Customer 117,North,10,2024-01-15,
118,Customer 118,North,9999999,2024-01-15,
119,Customer 119,East,9999999,2024-01-15,
120,Customer 120,West,30,2024-01-15,
121,Customer 121,East,20,2024-01-15,
122,Customer 122,West,30,2024-01-15,
123,Customer 123,West,9999999,2024-01-15,
124,Customer 124,East,9999999,2024-01-15,
125,Customer 125,South,9999999,2024-01-15,
126,Customer 126,West,20,2024-01-15,
127,Customer 127,West,30,2024-01-15,
