id,name,category,amount,signup_date,notes
1,Customer 1,South,30,2024-01-15,
2,Customer 2,North,9999999,2024-01-15,
3,Customer 3,North,10,2024-01-15,
4,Customer 4,North,30,2024-01-15,
5,Customer 5,North,20,2024-01-15,
6,Customer 6,West,10,2024-01-15,
7,Customer 7,North,9999999,2024-01-15,
8,Customer 8,North,20,2024-01-15,
9,Customer 9,North,9999999,2024-01-15,
10,Customer 10,South,10,2024-01-15,
11,Customer 11,West,10,2024-01-15,
12,Customer 12,South,10,2024-01-15,
13,Customer 13,South,10,2024-01-15,
14,Customer 14,West,30,2024-01-15,
15,Customer 15,North,20,2024-01-15,
16,Customer 16,South,30,2024-01-15,
17,Customer 17,South,10,2024-01-15,
18,Customer 18,North,30,2024-01-15,
19,Customer 19,North,10,2024-01-15,
20,Customer 20,West,20,2024-01-15,
21,Customer 21,East,9999999,2024-01-15,
22,Customer 22,West,9999999,2024-01-15,
23,Customer 23,East,30,2024-01-15,
24,Customer 24,South,20,2024-01-15,
25,Customer 25,North,20,2024-01-15,
26,Customer 26,West,30,2024-01-15,
27,Customer 27,West,30,2024-01-15,
28,Customer 28,North,30,2024-01-15,
29,Customer 29,West,10,2024-01-15,
30,Customer 30,East,20,2024-01-15,
31,Customer 31,West,20,2024-01-15,
32,Customer 32,North,9999999,2024-01-15,
33,Customer 33,East,10,2024-01-15,
34,Customer 34,East,30,2024-01-15,
35,Customer 35,West,9999999,2024-01-15,
36,Customer 36,North,10,2024-01-15,
37,Customer 37 ,West,30,2024-01-15,
38,Customer 38,North,10,2024-01-15,
39,Customer 39,West,30,2024-01-15,
40,Customer 40,West,30,2024-01-15,
41,Customer 41,North,30,2024-01-15,
42,Customer 42,East,9999999,2024-01-15,
43,Customer 43,North,20,2024-01-15,
44,Customer 44,North,9999999,2024-01-15,
45,Customer 45,East,20,2024-01-15,
46,Customer 46,South,20,2024-01-15,
47,Customer 47,West,9999999,2024-01-15,
48,Customer 48,North,9999999,2024-01-15,
49,Customer 49,West,20,2024-01-15,
50,Customer 50,East,9999999,2024-01-15,
51,Customer 51,West,20,2024-01-15,
