id,name,category,amount,signup_date,notes
1,Customer 1,North,20,2024-01-15,
2,Customer 2,North,30,2024-01-15,
3,Customer 3,West,9999999,2024-01-15,
4,Customer 4,West,9999999,2024-01-15,
5,Customer 5,North,20,2024-01-15,
6,Customer 6,North,9999999,2024-01-15,
7,Customer 7,West,9999999,2024-01-15,
8,Customer 8,West,10,2024-01-15,
9,Customer 9,South,30,2024-01-15,
10,Customer 10,East,10,2024-01-15,
11,Customer 11,North,10,2024-01-15,
12,Customer 12,North,10,2024-01-15,
13,Customer 13,South,9999999,2024-01-15,
14,Customer 14,North,9999999,2024-01-15,
15,Customer 15,West,20,2024-01-15,
16,Customer 16,South,9999999,2024-01-15,
17,Customer 17,South,30,2024-01-15,
18,Customer 18,West,20,2024-01-15,
19,Customer 19,North,30,2024-01-15,
20,Customer 20,North,9999999,2024-01-15,
21,Customer 21,East,20,2024-01-15,
22,Customer 22,East,10,2024-01-15,
23,Customer 23,South,9999999,2024-01-15,
24,Customer 24,East,30,2024-01-15,
25,Customer 25,West,9999999,2024-01-15,
26,Customer 26,West,10,2024-01-15,
27,Customer 27,West,20,2024-01-15,
28,Customer 28,South,9999999,2024-01-15,
29,Customer 29,East,30,2024-01-15,
30,Customer 30,West,10,2024-01-15,
31,Customer 31,South,10,2024-01-15,
32,Customer 32,East,9999999,2024-01-15,
33,Customer 33,North,9999999,2024-01-15,
34,Customer 34,North,9999999,2024-01-15,
35,Customer 35,West,30,2024-01-15,
36,Customer 36,South,20,2024-01-15,
37,Customer 37 ,North,20,2024-01-15,
38,Customer 38,South,20,2024-01-15,
39,Customer 39,East,9999999,2024-01-15,
40,Customer 40,West,30,2024-01-15,
41,Customer 41,North,30,2024-01-15,
42,Customer 42,South,9999999,2024-01-15,
43,Customer 43,West,20,2024-01-15,
44,Customer 44,West,10,2024-01-15,
45,Customer 45,South,30,2024-01-15,
46,Customer 46,West,9999999,2024-01-15,
47,Customer 47,West,30,2024-01-15,
48,Customer 48,North,30,2024-01-15,
49,Customer 49,West,30,2024-01-15,
50,Customer 50,South,10,2024-01-15,
51,Customer 51,South,20,2024-01-15,
52,Customer 52,East,10,2024-01-15,
53,Customer 53,North,10,2024-01-15,
54,Customer 54,North,10,2024-01-15,
55,Customer 55,North,9999999,2024-01-15,
56,Customer 56,South,30,2024-01-15,
57,Customer 57,North,30,2024-01-15,
58,Customer 58,East,20,2024-01-15,
59,Customer 59,North,30,2024-01-15,
60,Customer 60,South,20,2024-01-15,
61,Customer 61,South,30,2024-01-15,
62,Customer 62,East,30,2024-01-15,
63,Customer 63,East,9999999,2024-01-15,
64,Customer 64,West,9999999,2024-01-15,
65,Customer 65,North,10,2024-01-15,
66,Customer 66,West,30,2024-01-15,
67,Customer 67,West,30,2024-01-15,
68,Customer 68,East,20,2024-01-15,
69,Customer 69,East,10,2024-01-15,
70,Customer 70,West,20,2024-01-15,
71,Customer 71,South,10,2024-01-15,
72,Customer 72,West,10,2024-01-15,
73,Customer 73,North,20,2024-01-15,
74,Customer 74 ,West,20,2024-01-15,
75,Customer 75,South,9999999,2024-01-15,
76,Customer 76,South,9999999,2024-01-15,
77,Customer 77,West,10,2024-01-15,
78,Customer 78,West,30,2024-01-15,
79,Customer 79,East,10,2024-01-15,
80,Customer 80,South,20,2024-01-15,
81,Customer 81,East,10,2024-01-15,
82,Customer 82,North,10,2024-01-15,
83,Customer 83,East,30,2024-01-15,
84,Customer 84,West,20,2024-01-15,
85,Customer 85,South,30,2024-01-15,
86,Customer 86,North,10,2024-01-15,
87,Customer 87,West,20,2024-01-15,
88,Customer 88,North,20,2024-01-15,
89,Customer 89,South,9999999,2024-01-15,
90,Customer 90,North,30,2024-01-15,
91,Customer 91,West,20,2024-01-15,
92,Customer 92,West,20,2024-01-15,
93,Customer 93,West,10,2024-01-15,
94,Customer 94,West,30,2024-01-15,
95,Customer 95,East,10,2024-01-15,
96,Customer 96,East,9999999,2024-01-15,
97,Customer 97,South,10,2024-01-15,
98,Customer 98,East,20,2024-01-15,
99,Customer 99,East,20,2024-01-15,
100,Customer 100,South,9999999,2024-01-15,
101,Customer 101,North,30,2024-01-15,
102,Customer 102,East,9999999,2024-01-15,
103,Customer 103,South,9999999,2024-01-15,
104,Customer 104,North,10,2024-01-15,
105,Customer 105,South,10,2024-01-15,
106,Customer 106,South,20,2024-01-15,
107,Customer 107,East,20,2024-01-15,
108,Customer 108,East,30,2024-01-15,
109,Customer 109,East,30,2024-01-15,
110,Customer 110,North,30,2024-01-15,
111,Customer 111 ,South,30,2024-01-15,
112,Customer 112,South,9999999,2024-01-15,
113,Customer 113,East,10,2024-01-15,
114,Customer 114,West,10,2024-01-15,
115,Customer 115,West,10,2024-01-15,
116,Customer 116,South,20,2024-01-15,
