id,name,category,amount,signup_date,notes
1,Customer 1,East,20,2024-01-15,
2,Customer 2,West,10,2024-01-15,
3,Customer 3,South,9999999,2024-01-15,
4,Customer 4,North,10,2024-01-15,
5,Customer 5,West,10,2024-01-15,
6,Customer 6,North,30,2024-01-15,
7,Customer 7,East,20,2024-01-15,
8,Customer 8,South,30,2024-01-15,
9,Customer 9,East,10,2024-01-15,
10,Customer 10,North,20,2024-01-15,
11,Customer 11,East,30,2024-01-15,
12,Customer 12,South,20,2024-01-15,
13,Customer 13,East,30,2024-01-15,
14,Customer 14,North,30,2024-01-15,
15,Customer 15,West,30,2024-01-15,
16,Customer 16,South,20,2024-01-15,
17,Customer 17,West,20,2024-01-15,
18,Customer 18,North,30,2024-01-15,
19,Customer 19,North,30,2024-01-15,
20,Customer 20,East,30,2024-01-15,
21,Customer 21,West,20,2024-01-15,
22,Customer 22,East,9999999,2024-01-15,
23,Customer 23,West,9999999,2024-01-15,
24,Customer 24,South,20,2024-01-15,
25,Customer 25,East,30,2024-01-15,
26,Customer 26,North,10,2024-01-15,
27,Customer 27,West,10,2024-01-15,
28,Customer 28,West,30,2024-01-15,
29,Customer 29,South,30,2024-01-15,
30,Customer 30,North,20,2024-01-15,
31,Customer 31,South,9999999,2024-01-15,
32,Customer 32,East,9999999,2024-01-15,
33,Customer 33,East,20,2024-01-15,
34,Customer 34,East,9999999,2024-01-15,
35,Customer 35,East,20,2024-01-15,
36,Customer 36,North,10,2024-01-15,
37,Customer 37 ,East,20,2024-01-15,
38,Customer 38,North,20,2024-01-15,
39,Customer 39,South,30,2024-01-15,
40,Customer 40,West,30,2024-01-15,
41,Customer 41,North,10,2024-01-15,
42,Customer 42,North,30,2024-01-15,
43,Customer 43,East,30,2024-01-15,
44,Customer 44,East,10,2024-01-15,
45,Customer 45,East,30,2024-01-15,
46,Customer 46,West,20,2024-01-15,
47,Customer 47,East,10,2024-01-15,
48,Customer 48,West,20,2024-01-15,
49,Customer 49,South,30,2024-01-15,
50,Customer 50,West,30,2024-01-15,
51,Customer 51,East,20,2024-01-15,
52,Customer 52,East,10,2024-01-15,
53,Customer 53,West,10,2024-01-15,
54,Customer 54,East,20,2024-01-15,
55,Customer 55,East,30,2024-01-15,
56,Customer 56,West,10,2024-01-15,
57,Customer 57,West,20,2024-01-15,
58,Customer 58,North,20,2024-01-15,
59,Customer 59,North,10,2024-01-15,
60,Customer 60,South,10,2024-01-15,
61,Customer 61,North,20,2024-01-15,
62,Customer 62,South,9999999,2024-01-15,
