id,name,category,amount,signup_date,notes
1,Person 1,South,1.5,2024-01-15,
2,Person 2,East,3.0,2024-01-15,
3,Person 3,West,4.5,2024-01-15,
4,Person 4,North,6.0,2024-01-15,
5,Person 5,South,7.5,2024-01-15,
6,Person 6,East,9.0,2024-01-15,
7,Person 7,West,10.5,2024-01-15,
8,Person 8,North,12.0,2024-01-15,
9,Person 9,South,13.5,2024-01-15,
10,Person 10,East,15.0,2024-01-15,
11,Person 11,West,16.5,2024-01-15,
12,Person 12,North,18.0,2024-01-15,
13,Person 13,South,19.5,2024-01-15,
14,Person 14,East,21.0,2024-01-15,
15,Person 15,West,22.5,2024-01-15,
16,Person 16,North,24.0,2024-01-15,
17,Person 17,South,25.5,2024-01-15,
18,Person 18,East,27.0,2024-01-15,
19,Person 19,West,28.5,2024-01-15,
20,Person 20,North,30.0,2024-01-15,
21,Person 21,South,31.5,2024-01-15,
22,Person 22,East,33.0,2024-01-15,
23,Person 23,West,34.5,2024-01-15,
24,Person 24,North,36.0,2024-01-15,
25,Person 25,South,37.5,2024-01-15,
26,Person 26,East,39.0,2024-01-15,
27,Person 27,West,40.5,2024-01-15,
28,Person 28,North,42.0,2024-01-15,
29,Person 29,South,43.5,2024-01-15,
30,Person 30,East,45.0,2024-01-15,
31,Person 31,West,46.5,2024-01-15,
32,Person 32,North,48.0,2024-01-15,
33,Person 33,South,49.5,2024-01-15,
34,Person 34,East,51.0,2024-01-15,
35,Person 35,West,52.5,2024-01-15,
36,Person 36,North,54.0,2024-01-15,
37,Person 37,South,55.5,2024-01-15,
38,Person 38,East,57.0,2024-01-15,
39,Person 39,West,58.5,2024-01-15,
40,Person 40,North,60.0,2024-01-15,
41,Person 41,South,61.5,2024-01-15,
42,Person 42,East,63.0,2024-01-15,
43,Person 43,West,64.5,2024-01-15,
44,Person 44,North,66.0,2024-01-15,
45,Person 45,South,67.5,2024-01-15,
46,Person 46,East,69.0,2024-01-15,
47,Person 47,West,70.5,2024-01-15,
48,Person 48,North,72.0,2024-01-15,
49,Person 49,South,73.5,2024-01-15,
50,Person 50,East,75.0,2024-01-15,
51,Person 51,West,76.5,2024-01-15,
52,Person 52,North,78.0,2024-01-15,
53,Person 53,South,79.5,2024-01-15,
54,Person 54,East,81.0,2024-01-15,
55,Person 55,West,82.5,2024-01-15,
56,Person 56,North,84.0,2024-01-15,
57,Person 57,South,85.5,2024-01-15,
58,Person 58,East,87.0,2024-01-15,
59,Person 59,West,88.5,2024-01-15,
60,Person 60,North,90.0,2024-01-15,
61,Person 61,South,91.5,2024-01-15,
62,Person 62,East,93.0,2024-01-15,
63,Person 63,West,94.5,2024-01-15,
64,Person 64,North,96.0,2024-01-15,
65,Person 65,South,97.5,2024-01-15,
66,Person 66,East,99.0,2024-01-15,
67,Person 67,West,100.5,2024-01-15,
68,Person 68,North,102.0,2024-01-15,
69,Person 69,South,103.5,2024-01-15,
70,Person 70,East,105.0,2024-01-15,
71,Person 71,West,106.5,2024-01-15,
72,Person 72,North,108.0,2024-01-15,
73,Person 73,South,109.5,2024-01-15,
74,Person 74,East,111.0,2024-01-15,
75,Person 75,West,112.5,2024-01-15,
76,Person 76,North,114.0,2024-01-15,
77,Person 77,South,115.5,2024-01-15,
78,Person 78,East,117.0,2024-01-15,
79,Person 79,West,118.5,2024-01-15,
80,Person 80,North,120.0,2024-01-15,
81,Person 81,South,121.5,2024-01-15,
82,Person 82,East,123.0,2024-01-15,
83,Person 83,West,124.5,2024-01-15,
84,Person 84,North,126.0,2024-01-15,
85,Person 85,South,127.5,2024-01-15,
86,Person 86,East,129.0,2024-01-15,
87,Person 87,West,130.5,2024-01-15,
88,Person 88,North,132.0,2024-01-15,
89,Person 89,South,133.5,2024-01-15,
90,Person 90,East,135.0,2024-01-15,
91,Person 91,West,136.5,2024-01-15,
92,Person 92,North,138.0,2024-01-15,
93,Person 93,South,139.5,2024-01-15,
94,Person 94,East,141.0,2024-01-15,
95,Person 95,West,142.5,2024-01-15,
96,Person 96,North,144.0,2024-01-15,
97,Person 97,South,145.5,2024-01-15,
98,Person 98,East,147.0,2024-01-15,
99,Person 99,West,148.5,2024-01-15,
100,Person 100,North,150.0,2024-01-15,
101,Person 101,South,151.5,2024-01-15,
102,Person 102,East,153.0,2024-01-15,
103,Person 103,West,154.5,2024-01-15,
104,Person 104,North,156.0,2024-01-15,
105,Person 105,South,157.5,2024-01-15,
106,Person 106,East,159.0,2024-01-15,
107,Person 107,West,160.5,2024-01-15,
108,Person 108,North,162.0,2024-01-15,
109,Person 109,South,163.5,2024-01-15,
110,Person 110,East,165.0,2024-01-15,
111,Person 111,West,166.5,2024-01-15,
112,Person 112,North,168.0,2024-01-15,
113,Person 113,South,169.5,2024-01-15,
114,Person 114,East,171.0,2024-01-15,
115,Person 115,West,172.5,2024-01-15,
116,Person 116,North,174.0,2024-01-15,
117,Person 117,South,175.5,2024-01-15,
118,Person 118,East,177.0,2024-01-15,
119,Person 119,West,178.5,2024-01-15,
120,Person 120,North,180.0,2024-01-15,
121,Person 121,South,181.5,2024-01-15,
122,Person 122,East,183.0,2024-01-15,
123,Person 123,West,184.5,2024-01-15,
124,Person 124,North,186.0,2024-01-15,
125,Person 125,South,187.5,2024-01-15,
126,Person 126,East,189.0,2024-01-15,
127,Person 127,West,190.5,2024-01-15,
128,Person 128,North,192.0,2024-01-15,
129,Person 129,South,193.5,2024-01-15,
130,Person 130,East,195.0,2024-01-15,
131,Person 131,West,196.5,2024-01-15,
132,Person 132,North,198.0,2024-01-15,
133,Person 133,South,199.5,2024-01-15,
134,Person 134,East,201.0,2024-01-15,
135,Person 135,West,202.5,2024-01-15,
136,Person 136,North,204.0,2024-01-15,
137,Person 137,South,205.5,2024-01-15,
138,Person 138,East,207.0,2024-01-15,
139,Person 139,West,208.5,2024-01-15,
140,Person 140,North,210.0,2024-01-15,
141,Person 141,South,211.5,2024-01-15,
142,Person 142,East,213.0,2024-01-15,
143,Person 143,West,214.5,2024-01-15,
144,Person 144,North,216.0,2024-01-15,
145,Person 145,South,217.5,2024-01-15,
146,Person 146,East,219.0,2024-01-15,
147,Person 147,West,220.5,2024-01-15,
148,Person 148,North,222.0,2024-01-15,
149,Person 149,South,223.5,2024-01-15,
150,Person 150,East,225.0,2024-01-15,
151,Person 151,West,226.5,2024-01-15,
152,Person 152,North,228.0,2024-01-15,
153,Person 153,South,229.5,2024-01-15,
154,Person 154,East,231.0,2024-01-15,
155,Person 155,West,232.5,2024-01-15,
156,Person 156,North,234.0,2024-01-15,
157,Person 157,South,235.5,2024-01-15,
158,Person 158,East,237.0,2024-01-15,
159,Person 159,West,238.5,2024-01-15,
160,Person 160,North,240.0,2024-01-15,
161,Person 161,South,241.5,2024-01-15,
162,Person 162,East,243.0,2024-01-15,
163,Person 163,West,244.5,2024-01-15,
164,Person 164,North,246.0,2024-01-15,
165,Person 165,South,247.5,2024-01-15,
166,Person 166,East,249.0,2024-01-15,
167,Person 167,West,250.5,2024-01-15,
168,Person 168,North,252.0,2024-01-15,
169,Person 169,South,253.5,2024-01-15,
170,Person 170,East,255.0,2024-01-15,
171,Person 171,West,256.5,2024-01-15,
172,Person 172,North,258.0,2024-01-15,
173,Person 173,South,259.5,2024-01-15,
174,Person 174,East,261.0,2024-01-15,
175,Person 175,West,262.5,2024-01-15,
176,Person 176,North,264.0,2024-01-15,
177,Person 177,South,265.5,2024-01-15,
178,Person 178,East,267.0,2024-01-15,
179,Person 179,West,268.5,2024-01-15,
180,Person 180,North,270.0,2024-01-15,
181,Person 181,South,271.5,2024-01-15,
182,Person 182,East,273.0,2024-01-15,
183,Person 183,West,274.5,2024-01-15,
184,Person 184,North,276.0,2024-01-15,
185,Person 185,South,277.5,2024-01-15,
186,Person 186,East,279.0,2024-01-15,
187,Person 187,West,280.5,2024-01-15,
188,Person 188,North,282.0,2024-01-15,
189,Person 189,South,283.5,2024-01-15,
190,Person 190,East,285.0,2024-01-15,
191,Person 191,West,286.5,2024-01-15,
192,Person 192,North,288.0,2024-01-15,
193,Person 193,South,289.5,2024-01-15,
194,Person 194,East,291.0,2024-01-15,
195,Person 195,West,292.5,2024-01-15,
196,Person 196,North,294.0,2024-01-15,
197,Person 197,South,295.5,2024-01-15,
198,Person 198,East,297.0,2024-01-15,
199,Person 199,West,298.5,2024-01-15,
200,Person 200,North,300.0,2024-01-15,
201,Person 201,South,301.5,2024-01-15,
202,Person 202,East,303.0,2024-01-15,
203,Person 203,West,304.5,2024-01-15,
204,Person 204,North,306.0,2024-01-15,
205,Person 205,South,307.5,2024-01-15,
206,Person 206,East,309.0,2024-01-15,
207,Person 207,West,310.5,2024-01-15,
208,Person 208,North,312.0,2024-01-15,
209,Person 209,South,313.5,2024-01-15,
210,Person 210,East,315.0,2024-01-15,
211,Person 211,West,316.5,2024-01-15,
212,Person 212,North,318.0,2024-01-15,
213,Person 213,South,319.5,2024-01-15,
214,Person 214,East,321.0,2024-01-15,
215,Person 215,West,322.5,2024-01-15,
216,Person 216,North,324.0,2024-01-15,
217,Person 217,South,325.5,2024-01-15,
218,Person 218,East,327.0,2024-01-15,
219,Person 219,West,328.5,2024-01-15,
220,Person 220,North,330.0,2024-01-15,
221,Person 221,South,331.5,2024-01-15,
222,Person 222,East,333.0,2024-01-15,
223,Person 223,West,334.5,2024-01-15,
224,Person 224,North,336.0,2024-01-15,
225,Person 225,South,337.5,2024-01-15,
226,Person 226,East,339.0,2024-01-15,
227,Person 227,West,340.5,2024-01-15,
228,Person 228,North,342.0,2024-01-15,
229,Person 229,South,343.5,2024-01-15,
230,Person 230,East,345.0,2024-01-15,
231,Person 231,West,346.5,2024-01-15,
232,Person 232,North,348.0,2024-01-15,
233,Person 233,South,349.5,2024-01-15,
234,Person 234,East,351.0,2024-01-15,
235,Person 235,West,352.5,2024-01-15,
236,Person 236,North,354.0,2024-01-15,
237,Person 237,South,355.5,2024-01-15,
238,Person 238,East,357.0,2024-01-15,
239,Person 239,West,358.5,2024-01-15,
240,Person 240,North,360.0,2024-01-15,
241,Person 241,South,361.5,2024-01-15,
242,Person 242,East,363.0,2024-01-15,
243,Person 243,West,364.5,2024-01-15,
244,Person 244,North,366.0,2024-01-15,
245,Person 245,South,367.5,2024-01-15,
246,Person 246,East,369.0,2024-01-15,
247,Person 247,West,370.5,2024-01-15,
248,Person 248,North,372.0,2024-01-15,
249,Person 249,South,373.5,2024-01-15,
250,Person 250,East,375.0,2024-01-15,
251,Person 251,West,376.5,2024-01-15,
252,Person 252,North,378.0,2024-01-15,
253,Person 253,South,379.5,2024-01-15,
254,Person 254,East,381.0,2024-01-15,
255,Person 255,West,382.5,2024-01-15,
256,Person 256,North,384.0,2024-01-15,
257,Person 257,South,385.5,2024-01-15,
258,Person 258,East,387.0,2024-01-15,
259,Person 259,West,388.5,2024-01-15,
260,Person 260,North,390.0,2024-01-15,
261,Person 261,South,391.5,2024-01-15,
262,Person 262,East,393.0,2024-01-15,
263,Person 263,West,394.5,2024-01-15,
264,Person 264,North,396.0,2024-01-15,
265,Person 265,South,397.5,2024-01-15,
266,Person 266,East,399.0,2024-01-15,
267,Person 267,West,400.5,2024-01-15,
268,Person 268,North,402.0,2024-01-15,
269,Person 269,South,403.5,2024-01-15,
270,Person 270,East,405.0,2024-01-15,
271,Person 271,West,406.5,2024-01-15,
272,Person 272,North,408.0,2024-01-15,
273,Person 273,South,409.5,2024-01-15,
274,Person 274,East,411.0,2024-01-15,
275,Person 275,West,412.5,2024-01-15,
276,Person 276,North,414.0,2024-01-15,
277,Person 277,South,415.5,2024-01-15,
278,Person 278,East,417.0,2024-01-15,
279,Person 279,West,418.5,2024-01-15,
