id,name,category,amount,signup_date,notes
1,Customer 1,South,20,2024-01-15,
2,Customer 2,West,30,2024-01-15,
3,Customer 3,North,10,2024-01-15,
4,Customer 4,East,9999999,2024-01-15,
5,Customer 5,South,20,2024-01-15,
6,Customer 6,West,9999999,2024-01-15,
7,Customer 7,South,9999999,2024-01-15,
8,Customer 8,South,20,2024-01-15,
9,Customer 9,North,9999999,2024-01-15,
10,Customer 10,South,10,2024-01-15,
11,Customer 11,East,10,2024-01-15,
12,Customer 12,East,10,2024-01-15,
13,Customer 13,West,9999999,2024-01-15,
14,Customer 14,West,9999999,2024-01-15,
15,Customer 15,South,9999999,2024-01-15,
16,Customer 16,North,30,2024-01-15,
17,Customer 17,South,10,2024-01-15,
18,Customer 18,South,9999999,2024-01-15,
19,Customer 19,West,30,2024-01-15,
20,Customer 20,West,30,2024-01-15,
21,Customer 21,East,9999999,2024-01-15,
22,Customer 22,South,9999999,2024-01-15,
23,Customer 23,North,30,2024-01-15,
24,Customer 24,South,30,2024-01-15,
25,Customer 25,North,30,2024-01-15,
26,Customer 26,East,20,2024-01-15,
27,Customer 27,North,30,2024-01-15,
28,Customer 28,West,10,2024-01-15,
29,Customer 29,North,9999999,2024-01-15,
30,Customer 30,North,30,2024-01-15,
31,Customer 31,South,9999999,2024-01-15,
32,Customer 32,East,10,2024-01-15,
33,Customer 33,West,9999999,2024-01-15,
34,Customer 34,North,10,2024-01-15,
35,Customer 35,West,10,2024-01-15,
36,Customer 36,East,30,2024-01-15,
37,Customer 37 ,North,20,2024-01-15,
38,Customer 38,North,30,2024-01-15,
39,Customer 39,North,10,2024-01-15,
40,Customer 40,South,10,2024-01-15,
41,Customer 41,East,9999999,2024-01-15,
42,Customer 42,South,30,2024-01-15,
43,Customer 43,East,10,2024-01-15,
44,Customer 44,East,30,2024-01-15,
45,Customer 45,West,20,2024-01-15,
46,Customer 46,West,9999999,2024-01-15,
47,Customer 47,North,9999999,2024-01-15,
48,Customer 48,West,30,2024-01-15,
49,Customer 49,East,20,2024-01-15,
50,Customer 50,East,9999999,2024-01-15,
51,Customer 51,East,30,2024-01-15,
52,Customer 52,West,10,2024-01-15,
53,Customer 53,North,30,2024-01-15,
54,Customer 54,South,9999999,2024-01-15,
55,Customer 55,East,10,2024-01-15,
56,Customer 56,East,9999999,2024-01-15,
57,Customer 57,East,30,2024-01-15,
58,Customer 58,North,9999999,2024-01-15,
59,Customer 59,North,10,2024-01-15,
60,Customer 60,East,30,2024-01-15,
61,Customer 61,East,9999999,2024-01-15,
62,Customer 62,South,30,2024-01-15,
63,Customer 63,South,30,2024-01-15,
64,Customer 64,East,30,2024-01-15,
65,Customer 65,East,30,2024-01-15,
66,Customer 66,North,9999999,2024-01-15,
67,Customer 67,South,10,2024-01-15,
68,Customer 68,South,30,2024-01-15,
69,Customer 69,South,30,2024-01-15,
70,Customer 70,South,30,2024-01-15,
71,Customer 71,North,9999999,2024-01-15,
72,Customer 72,East,10,2024-01-15,
73,Customer 73,South,30,2024-01-15,
