id,name,category,amount,signup_date,notes
1,Customer 1,North,10,2024-01-15,
2,Customer 2,South,30,2024-01-15,
3,Customer 3,South,20,2024-01-15,
4,Customer 4,North,10,2024-01-15,
5,Customer 5,North,9999999,2024-01-15,
6,Customer 6,North,10,2024-01-15,
7,Customer 7,South,20,2024-01-15,
8,Customer 8,South,10,2024-01-15,
9,Customer 9,South,9999999,2024-01-15,
10,Customer 10,East,9999999,2024-01-15,
11,Customer 11,South,10,2024-01-15,
12,Customer 12,East,9999999,2024-01-15,
13,Customer 13,South,30,2024-01-15,
14,Customer 14,East,20,2024-01-15,
15,Customer 15,North,10,2024-01-15,
16,Customer 16,North,9999999,2024-01-15,
17,Customer 17,East,30,2024-01-15,
18,Customer 18,North,30,2024-01-15,
19,Customer 19,North,9999999,2024-01-15,
20,Customer 20,North,9999999,2024-01-15,
21,Customer 21,East,30,2024-01-15,
22,Customer 22,North,20,2024-01-15,
23,Customer 23,South,10,2024-01-15,
24,Customer 24,North,30,2024-01-15,
25,Customer 25,North,20,2024-01-15,
26,Customer 26,East,9999999,2024-01-15,
27,Customer 27,East,9999999,2024-01-15,
28,Customer 28,East,20,2024-01-15,
29,Customer 29,South,30,2024-01-15,
30,Customer 30,North,30,2024-01-15,
31,Customer 31,South,20,2024-01-15,
32,Customer 32,West,20,2024-01-15,
33,Customer 33,East,9999999,2024-01-15,
34,Customer 34,East,20,2024-01-15,
35,Customer 35,South,10,2024-01-15,
36,Customer 36,East,10,2024-01-15,
37,Customer 37 ,East,9999999,2024-01-15,
38,Customer 38,South,10,2024-01-15,
39,Customer 39,South,30,2024-01-15,
40,Customer 40,West,9999999,2024-01-15,
41,Customer 41,South,9999999,2024-01-15,
42,Customer 42,South,30,2024-01-15,
43,Customer 43,East,20,2024-01-15,
44,Customer 44,West,9999999,2024-01-15,
45,Customer 45,South,30,2024-01-15,
46,Customer 46,West,20,2024-01-15,
47,Customer 47,North,10,2024-01-15,
48,Customer 48,South,10,2024-01-15,
49,Customer 49,West,20,2024-01-15,
50,Customer 50,West,10,2024-01-15,
51,Customer 51,West,9999999,2024-01-15,
52,Customer 52,North,30,2024-01-15,
53,Customer 53,East,10,2024-01-15,
54,Customer 54,North,30,2024-01-15,
55,Customer 55,West,30,2024-01-15,
56,Customer 56,West,20,2024-01-15,
57,Customer 57,East,10,2024-01-15,
58,Customer 58,North,20,2024-01-15,
59,Customer 59,South,30,2024-01-15,
60,Customer 60,East,20,2024-01-15,
61,Customer 61,North,20,2024-01-15,
62,Customer 62,West,30,2024-01-15,
63,Customer 63,North,10,2024-01-15,
64,Customer 64,East,30,2024-01-15,
65,Customer 65,North,20,2024-01-15,
66,Customer 66,North,20,2024-01-15,
67,Customer 67,West,10,2024-01-15,
68,Customer 68,South,10,2024-01-15,
69,Customer 69,West,20,2024-01-15,
70,Customer 70,East,20,2024-01-15,
71,Customer 71,South,9999999,2024-01-15,
72,Customer 72,East,20,2024-01-15,
73,Customer 73,East,9999999,2024-01-15,
74,Customer 74 ,West,9999999,2024-01-15,
75,Customer 75,South,10,2024-01-15,
76,Customer 76,North,20,2024-01-15,
77,Customer 77,North,30,2024-01-15,
78,Customer 78,South,20,2024-01-15,
79,Customer 79,North,10,2024-01-15,
80,Customer 80,South,10,2024-01-15,
81,Customer 81,North,10,2024-01-15,
82,Customer 82,North,30,2024-01-15,
83,Customer 83,East,20,2024-01-15,
84,Customer 84,South,9999999,2024-01-15,
85,Customer 85,West,20,2024-01-15,
86,Customer 86,West,20,2024-01-15,
87,Customer 87,South,9999999,2024-01-15,
88,Customer 88,North,10,2024-01-15,
89,Customer 89,East,9999999,2024-01-15,
90,Customer 90,West,9999999,2024-01-15,
91,Customer 91,North,9999999,2024-01-15,
92,Customer 92,North,10,2024-01-15,
93,Customer 93,East,9999999,2024-01-15,
94,Customer 94,South,10,2024-01-15,
95,Customer 95,South,20,2024-01-15,
96,Customer 96,South,9999999,2024-01-15,
97,Customer 97,South,9999999,2024-01-15,
98,Customer 98,West,30,2024-01-15,
99,Customer 99,North,20,2024-01-15,
100,Customer 100,North,9999999,2024-01-15,
101,Customer 101,North,10,2024-01-15,
102,Customer 102,South,10,2024-01-15,
103,Customer 103,West,20,2024-01-15,
104,Customer 104,West,9999999,2024-01-15,
105,Customer 105,West,20,2024-01-15,
106,Customer 106,South,10,2024-01-15,
107,Customer 107,North,9999999,2024-01-15,
108,Customer 108,East,9999999,2024-01-15,
109,Customer 109,East,9999999,2024-01-15,
110,Customer 110,West,9999999,2024-01-15,
111,Customer 111 ,South,20,2024-01-15,
112,Customer 112,South,30,2024-01-15,
113,Customer 113,North,10,2024-01-15,
114,Customer 114,North,30,2024-01-15,
115,Customer 115,West,10,2024-01-15,
116,Customer 116,North,20,2024-01-15,
117,Customer 117,South,10,2024-01-15,
118,Customer 118,North,10,2024-01-15,
119,Customer 119,West,20,2024-01-15,
120,Customer 120,South,10,2024-01-15,
121,Customer 121,North,10,2024-01-15,
122,Customer 122,East,9999999,2024-01-15,
123,Customer 123,South,30,2024-01-15,
124,Customer 124,South,30,2024-01-15,
125,Customer 125,West,30,2024-01-15,
126,Customer 126,East,20,2024-01-15,
127,Customer 127,East,9999999,2024-01-15,
128,Customer 128,North,10,2024-01-15,
129,Customer 129,North,9999999,2024-01-15,
130,Customer 130,South,10,2024-01-15,
131,Customer 131,South,30,2024-01-15,
132,Customer 132,North,30,2024-01-15,
133,Customer 133,East,20,2024-01-15,
134,Customer 134,South,30,2024-01-15,
135,Customer 135,East,9999999,2024-01-15,
136,Customer 136,East,10,2024-01-15,
137,Customer 137,South,10,2024-01-15,
138,Customer 138,North,30,2024-01-15,
139,Customer 139,South,10,2024-01-15,
140,Customer 140,East,30,2024-01-15,
141,Customer 141,East,20,2024-01-15,
142,Customer 142,East,20,2024-01-15,
143,Customer 143,East,9999999,2024-01-15,
144,Customer 144,North,10,2024-01-15,
145,Customer 145,East,9999999,2024-01-15,
146,Customer 146,North,10,2024-01-15,
147,Customer 147,South,30,2024-01-15,
148,Customer 148 ,South,30,2024-01-15,
149,Customer 149,West,9999999,2024-01-15,
150,Customer 150,North,10,2024-01-15,
151,Customer 151,South,10,2024-01-15,
152,Customer 152,East,10,2024-01-15,
153,Customer 153,West,20,2024-01-15,
154,Customer 154,North,20,2024-01-15,
155,Customer 155,East,30,2024-01-15,
156,Customer 156,East,10,2024-01-15,
157,Customer 157,South,20,2024-01-15,
158,Customer 158,East,10,2024-01-15,
159,Customer 159,South,9999999,2024-01-15,
160,Customer 160,South,20,2024-01-15,
161,Customer 161,West,20,2024-01-15,
162,Customer 162,South,10,2024-01-15,
163,Customer 163,West,30,2024-01-15,
164,Customer 164,East,20,2024-01-15,
165,Customer 165,North,20,2024-01-15,
166,Customer 166,North,9999999,2024-01-15,
167,Customer 167,South,9999999,2024-01-15,
168,Customer 168,West,20,2024-01-15,
169,Customer 169,East,30,2024-01-15,
170,Customer 170,South,20,2024-01-15,
171,Customer 171,South,10,2024-01-15,
172,Customer 172,East,9999999,2024-01-15,
173,Customer 173,North,30,2024-01-15,
174,Customer 174,East,30,2024-01-15,
175,Customer 175,East,9999999,2024-01-15,
176,Customer 176,North,10,2024-01-15,
177,Customer 177,South,30,2024-01-15,
178,Customer 178,North,30,2024-01-15,
179,Customer 179,West,10,2024-01-15,
180,Customer 180,East,30,2024-01-15,
181,Customer 181,North,9999999,2024-01-15,
182,Customer 182,South,9999999,2024-01-15,
183,Customer 183,North,30,2024-01-15,
184,Customer 184,North,9999999,2024-01-15,
185,Customer 185 ,East,20,2024-01-15,
186,Customer 186,North,9999999,2024-01-15,
187,Customer 187,East,30,2024-01-15,
188,Customer 188,East,10,2024-01-15,
189,Customer 189,West,30,2024-01-15,
190,Customer 190,West,30,2024-01-15,
191,Customer 191,South,30,2024-01-15,
192,Customer 192,West,20,2024-01-15,
193,Customer 193,South,9999999,2024-01-15,
194,Customer 194,West,30,2024-01-15,
195,Customer 195,East,10,2024-01-15,
196,Customer 196,South,30,2024-01-15,
197,Customer 197,East,9999999,2024-01-15,
198,Customer 198,West,9999999,2024-01-15,
199,Customer 199,South,9999999,2024-01-15,
200,Customer 200,South,9999999,2024-01-15,
201,Customer 201,East,10,2024-01-15,
202,Customer 202,North,30,2024-01-15,
203,Customer 203,East,20,2024-01-15,
204,Customer 204,South,20,2024-01-15,
205,Customer 205,North,20,2024-01-15,
206,Customer 206,South,10,2024-01-15,
207,Customer 207,North,9999999,2024-01-15,
208,Customer 208,West,9999999,2024-01-15,
209,Customer 209,West,20,2024-01-15,
210,Customer 210,West,9999999,2024-01-15,
211,Customer 211,South,20,2024-01-15,
212,Customer 212,North,10,2024-01-15,
213,Customer 213,South,9999999,2024-01-15,
214,Customer 214,West,20,2024-01-15,
215,Customer 215,South,10,2024-01-15,
216,Customer 216,West,10,2024-01-15,
217,Customer 217,West,20,2024-01-15,
218,Customer 218,West,30,2024-01-15,
219,Customer 219,West,9999999,2024-01-15,
220,Customer 220,West,20,2024-01-15,
221,Customer 221,East,9999999,2024-01-15,
222,Customer 222 ,East,20,2024-01-15,
223,Customer 223,South,9999999,2024-01-15,
224,Customer 224,West,30,2024-01-15,
225,Customer 225,East,10,2024-01-15,
226,Customer 226,East,20,2024-01-15,
227,Customer 227,East,30,2024-01-15,
228,Customer 228,South,10,2024-01-15,
229,Customer 229,South,20,2024-01-15,
230,Customer 230,South,9999999,2024-01-15,
231,Customer 231,North,20,2024-01-15,
232,Customer 232,West,9999999,2024-01-15,
233,Customer 233,West,30,2024-01-15,
234,Customer 234,North,9999999,2024-01-15,
235,Customer 235,West,20,2024-01-15,
236,Customer 236,North,9999999,2024-01-15,
237,Customer 237,West,9999999,2024-01-15,
238,Customer 238,East,10,2024-01-15,
239,Customer 239,West,30,2024-01-15,
240,Customer 240,South,9999999,2024-01-15,
241,Customer 241,South,9999999,2024-01-15,
242,Customer 242,West,30,2024-01-15,
243,Customer 243,North,9999999,2024-01-15,
244,Customer 244,East,9999999,2024-01-15,
245,Customer 245,South,9999999,2024-01-15,
246,Customer 246,South,9999999,2024-01-15,
247,Customer 247,West,10,2024-01-15,
248,Customer 248,North,10,2024-01-15,
249,Customer 249,South,9999999,2024-01-15,
250,Customer 250,South,9999999,2024-01-15,
251,Customer 251,East,10,2024-01-15,
252,Customer 252,East,9999999,2024-01-15,
253,Customer 253,West,20,2024-01-15,
254,Customer 254,East,30,2024-01-15,
255,Customer 255,East,9999999,2024-01-15,
256,Customer 256,East,9999999,2024-01-15,
257,Customer 257,West,10,2024-01-15,
258,Customer 258,North,10,2024-01-15,
259,Customer 259 ,South,30,2024-01-15,
260,Customer 260,North,10,2024-01-15,
261,Customer 261,South,10,2024-01-15,
262,Customer 262,North,20,2024-01-15,
263,Customer 263,South,20,2024-01-15,
264,Customer 264,West,20,2024-01-15,
265,Customer 265,South,10,2024-01-15,
266,Customer 266,East,9999999,2024-01-15,
267,Customer 267,South,30,2024-01-15,
268,Customer 268,South,10,2024-01-15,
269,Customer 269,North,30,2024-01-15,
270,Customer 270,East,10,2024-01-15,
271,Customer 271,West,9999999,2024-01-15,
272,Customer 272,North,20,2024-01-15,
273,Customer 273,North,20,2024-01-15,
274,Customer 274,North,30,2024-01-15,
275,Customer 275,East,10,2024-01-15,
276,Customer 276,East,9999999,2024-01-15,
277,Customer 277,East,10,2024-01-15,
278,Customer 278,West,10,2024-01-15,
279,Customer 279,North,9999999,2024-01-15,
280,Customer 280,East,9999999,2024-01-15,
281,Customer 281,South,9999999,2024-01-15,
282,Customer 282,South,9999999,2024-01-15,
283,Customer 283,West,30,2024-01-15,
284,Customer 284,West,9999999,2024-01-15,
285,Customer 285,East,30,2024-01-15,
286,Customer 286,North,20,2024-01-15,
287,Customer 287,West,30,2024-01-15,
288,Customer 288,West,20,2024-01-15,
289,Customer 289,East,9999999,2024-01-15,
290,Customer 290,West,10,2024-01-15,
291,Customer 291,South,30,2024-01-15,
292,Customer 292,South,9999999,2024-01-15,
293,Customer 293,East,30,2024-01-15,
294,Customer 294,East,30,2024-01-15,
295,Customer 295,North,30,2024-01-15,
296,Customer 296 ,North,20,2024-01-15,
297,Customer 297,West,20,2024-01-15,
298,Customer 298,South,9999999,2024-01-15,
299,Customer 299,West,9999999,2024-01-15,
300,Customer 300,North,9999999,2024-01-15,
301,Customer 301,East,10,2024-01-15,
302,Customer 302,West,20,2024-01-15,
303,Customer 303,East,20,2024-01-15,
304,Customer 304,West,30,2024-01-15,
305,Customer 305,West,30,2024-01-15,
306,Customer 306,East,30,2024-01-15,
307,Customer 307,East,9999999,2024-01-15,
308,Customer 308,East,30,2024-01-15,
309,Customer 309,North,20,2024-01-15,
310,Customer 310,East,20,2024-01-15,
311,Customer 311,South,10,2024-01-15,
312,Customer 312,South,20,2024-01-15,
313,Customer 313,East,9999999,2024-01-15,
314,Customer 314,North,30,2024-01-15,
315,Customer 315,East,20,2024-01-15,
316,Customer 316,East,20,2024-01-15,
317,Customer 317,East,20,2024-01-15,
318,Customer 318,South,10,2024-01-15,
319,Customer 319,North,30,2024-01-15,
320,Customer 320,East,10,2024-01-15,
321,Customer 321,West,20,2024-01-15,
322,Customer 322,North,10,2024-01-15,
323,Customer 323,West,30,2024-01-15,
324,Customer 324,West,9999999,2024-01-15,
325,Customer 325,South,30,2024-01-15,
326,Customer 326,East,10,2024-01-15,
327,Customer 327,North,9999999,2024-01-15,
328,Customer 328,West,10,2024-01-15,
329,Customer 329,North,9999999,2024-01-15,
330,Customer 330,South,10,2024-01-15,
331,Customer 331,East,20,2024-01-15,
332,Customer 332,South,10,2024-01-15,
333,Customer 333 ,West,10,2024-01-15,
334,Customer 334,West,20,2024-01-15,
335,Customer 335,West,9999999,2024-01-15,
336,Customer 336,West,30,2024-01-15,
337,Customer 337,North,30,2024-01-15,
338,Customer 338,South,10,2024-01-15,
339,Customer 339,East,20,2024-01-15,
340,Customer 340,South,10,2024-01-15,
341,Customer 341,South,20,2024-01-15,
342,Customer 342,South,10,2024-01-15,
343,Customer 343,West,10,2024-01-15,
344,Customer 344,West,9999999,2024-01-15,
345,Customer 345,North,30,2024-01-15,
346,Customer 346,East,20,2024-01-15,
347,Customer 347,West,30,2024-01-15,
348,Customer 348,South,10,2024-01-15,
349,Customer 349,South,30,2024-01-15,
350,Customer 350,North,9999999,2024-01-15,
351,Customer 351,South,20,2024-01-15,
352,Customer 352,South,30,2024-01-15,
353,Customer 353,North,10,2024-01-15,
354,Customer 354,East,20,2024-01-15,
355,Customer 355,West,30,2024-01-15,
356,Customer 356,West,10,2024-01-15,
357,Customer 357,West,30,2024-01-15,
358,Customer 358,West,30,2024-01-15,
359,Customer 359,North,9999999,2024-01-15,
360,Customer 360,West,10,2024-01-15,
361,Customer 361,East,30,2024-01-15,
362,Customer 362,North,10,2024-01-15,
363,Customer 363,North,20,2024-01-15,
364,Customer 364,North,30,2024-01-15,
365,Customer 365,West,20,2024-01-15,
366,Customer 366,East,9999999,2024-01-15,
367,Customer 367,West,20,2024-01-15,
368,Customer 368,North,9999999,2024-01-15,
369,Customer 369,East,9999999,2024-01-15,
370,Customer 370 ,East,9999999,2024-01-15,
371,Customer 371,North,30,2024-01-15,
372,Customer 372,East,20,2024-01-15,
373,Customer 373,West,9999999,2024-01-15,
374,Customer 374,West,30,2024-01-15,
375,Customer 375,West,10,2024-01-15,
376,Customer 376,East,10,2024-01-15,
377,Customer 377,East,30,2024-01-15,
378,Customer 378,West,10,2024-01-15,
379,Customer 379,West,10,2024-01-15,
380,Customer 380,North,9999999,2024-01-15,
381,Customer 381,East,20,2024-01-15,
382,Customer 382,West,9999999,2024-01-15,
383,Customer 383,South,10,2024-01-15,
384,Customer 384,South,30,2024-01-15,
385,Customer 385,West,30,2024-01-15,
386,Customer 386,North,9999999,2024-01-15,
387,Customer 387,South,10,2024-01-15,
388,Customer 388,East,20,2024-01-15,
389,Customer 389,West,10,2024-01-15,
390,Customer 390,South,10,2024-01-15,
391,Customer 391,West,10,2024-01-15,
392,Customer 392,South,10,2024-01-15,
393,Customer 393,East,9999999,2024-01-15,
394,Customer 394,West,30,2024-01-15,
395,Customer 395,West,9999999,2024-01-15,
396,Customer 396,West,20,2024-01-15,
397,Customer 397,West,20,2024-01-15,
398,Customer 398,South,20,2024-01-15,
399,Customer 399,East,10,2024-01-15,
400,Customer 400,East,9999999,2024-01-15,
401,Customer 401,North,30,2024-01-15,
402,Customer 402,East,30,2024-01-15,
403,Customer 403,South,9999999,2024-01-15,
404,Customer 404,West,9999999,2024-01-15,
405,Customer 405,East,30,2024-01-15,
406,Customer 406,West,9999999,2024-01-15,
407,Customer 407 ,South,30,2024-01-15,
408,Customer 408,West,20,2024-01-15,
409,Customer 409,West,20,2024-01-15,
410,Customer 410,East,10,2024-01-15,
411,Customer 411,West,9999999,2024-01-15,
412,Customer 412,South,9999999,2024-01-15,
413,Customer 413,North,9999999,2024-01-15,
414,Customer 414,East,20,2024-01-15,
415,Customer 415,West,10,2024-01-15,
416,Customer 416,West,10,2024-01-15,
417,Customer 417,South,10,2024-01-15,
418,Customer 418,South,9999999,2024-01-15,
419,Customer 419,West,10,2024-01-15,
420,Customer 420,East,30,2024-01-15,
421,Customer 421,North,9999999,2024-01-15,
422,Customer 422,West,30,2024-01-15,
423,Customer 423,West,30,2024-01-15,
424,Customer 424,North,10,2024-01-15,
425,Customer 425,East,20,2024-01-15,
426,Customer 426,North,20,2024-01-15,
427,Customer 427,North,9999999,2024-01-15,
428,Customer 428,West,10,2024-01-15,
429,Customer 429,East,20,2024-01-15,
430,Customer 430,North,10,2024-01-15,
431,Customer 431,North,30,2024-01-15,
432,Customer 432,East,30,2024-01-15,
433,Customer 433,West,30,2024-01-15,
434,Customer 434,South,20,2024-01-15,
435,Customer 435,South,9999999,2024-01-15,
436,Customer 436,South,20,2024-01-15,
437,Customer 437,West,10,2024-01-15,
438,Customer 438,West,20,2024-01-15,
439,Customer 439,South,20,2024-01-15,
440,Customer 440,East,9999999,2024-01-15,
441,Customer 441,East,9999999,2024-01-15,
442,Customer 442,West,10,2024-01-15,
443,Customer 443,South,30,2024-01-15,
444,Customer 444 ,West,10,2024-01-15,
445,Customer 445,East,30,2024-01-15,
446,Customer 446,East,9999999,2024-01-15,
447,Customer 447,East,9999999,2024-01-15,
448,Customer 448,West,20,2024-01-15,
449,Customer 449,North,9999999,2024-01-15,
450,Customer 450,West,20,2024-01-15,
451,Customer 451,East,30,2024-01-15,
452,Customer 452,North,30,2024-01-15,
453,Customer 453,East,9999999,2024-01-15,
454,Customer 454,North,10,2024-01-15,
455,Customer 455,East,9999999,2024-01-15,
456,Customer 456,East,20,2024-01-15,
457,Customer 457,South,20,2024-01-15,
458,Customer 458,South,30,2024-01-15,
459,Customer 459,North,10,2024-01-15,
460,Customer 460,West,30,2024-01-15,
461,Customer 461,East,10,2024-01-15,
462,Customer 462,North,20,2024-01-15,
463,Customer 463,East,30,2024-01-15,
464,Customer 464,South,9999999,2024-01-15,
465,Customer 465,South,20,2024-01-15,
466,Customer 466,East,30,2024-01-15,
467,Customer 467,East,20,2024-01-15,
468,Customer 468,East,9999999,2024-01-15,
469,Customer 469,North,30,2024-01-15,
470,Customer 470,North,9999999,2024-01-15,
