id,name,category,amount,signup_date,notes
1,Customer 1,West,9999999,2024-01-15,
2,Customer 2,East,10,2024-01-15,
3,Customer 3,West,9999999,2024-01-15,
4,Customer 4,West,30,2024-01-15,
5,Customer 5,South,30,2024-01-15,
6,Customer 6,East,20,2024-01-15,
7,Customer 7,North,20,2024-01-15,
8,Customer 8,South,30,2024-01-15,
9,Customer 9,North,30,2024-01-15,
10,Customer 10,East,10,2024-01-15,
11,Customer 11,North,9999999,2024-01-15,
12,Customer 12,West,30,2024-01-15,
13,Customer 13,South,30,2024-01-15,
14,Customer 14,West,9999999,2024-01-15,
15,Customer 15,North,30,2024-01-15,
16,Customer 16,North,10,2024-01-15,
17,Customer 17,North,9999999,2024-01-15,
18,Customer 18,East,9999999,2024-01-15,
19,Customer 19,East,20,2024-01-15,
20,Customer 20,South,10,2024-01-15,
21,Customer 21,South,20,2024-01-15,
22,Customer 22,West,20,2024-01-15,
23,Customer 23,North,10,2024-01-15,
24,Customer 24,West,30,2024-01-15,
25,Customer 25,East,10,2024-01-15,
26,Customer 26,North,30,2024-01-15,
27,Customer 27,South,30,2024-01-15,
28,Customer 28,West,30,2024-01-15,
29,Customer 29,West,10,2024-01-15,
30,Customer 30,South,30,2024-01-15,
31,Customer 31,South,30,2024-01-15,
32,Customer 32,South,20,2024-01-15,
33,Customer 33,East,10,2024-01-15,
34,Customer 34,North,9999999,2024-01-15,
35,Customer 35,South,10,2024-01-15,
36,Customer 36,North,20,2024-01-15,
37,Customer 37 ,West,10,2024-01-15,
38,Customer 38,South,30,2024-01-15,
39,Customer 39,West,20,2024-01-15,
40,Customer 40,West,30,2024-01-15,
41,Customer 41,East,9999999,2024-01-15,
42,Customer 42,East,10,2024-01-15,
43,Customer 43,West,10,2024-01-15,
44,Customer 44,South,30,2024-01-15,
45,Customer 45,North,20,2024-01-15,
46,Customer 46,North,30,2024-01-15,
47,Customer 47,East,20,2024-01-15,
48,Customer 48,East,20,2024-01-15,
49,Customer 49,North,9999999,2024-01-15,
